Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,relative_humidity,Trange,Year,Month,Week,Day,precip_7D_avg
1,2007-05-01,83,50,66.5,51,56,0.0,57,33,2007,5,18,1,0.0
2,2007-05-01,84,52,68.0,51,57,0.0,55,32,2007,5,18,1,0.0
1,2007-05-02,59,42,50.5,42,47,0.0,55,17,2007,5,18,2,0.0
2,2007-05-02,60,43,51.5,42,47,0.0,52,17,2007,5,18,2,0.0
1,2007-05-03,66,46,56.0,40,48,0.0,35,20,2007,5,18,3,0.0
2,2007-05-03,67,48,57.5,40,50,0.0,33,19,2007,5,18,3,0.0
1,2007-05-04,66,49,57.5,41,50,0.0,37,17,2007,5,18,4,0.0
2,2007-05-04,78,51,64.5,42,50,0.0,32,27,2007,5,18,4,0.0
1,2007-05-05,66,53,59.5,38,49,0.0,23,13,2007,5,18,5,0.0
2,2007-05-05,66,54,60.0,39,50,0.0,26,12,2007,5,18,5,0.0
1,2007-05-06,68,49,58.5,30,46,0.0,-8,19,2007,5,18,6,0.0
2,2007-05-06,68,52,60.0,30,46,0.0,-8,16,2007,5,18,6,0.0
1,2007-05-07,83,47,65.0,41,54,0.0,29,36,2007,5,19,7,0.0
2,2007-05-07,84,50,67.0,39,53,0.0,21,34,2007,5,19,7,0.0
1,2007-05-08,82,54,68.0,58,62,0.0,74,28,2007,5,19,8,0.0
2,2007-05-08,80,60,70.0,57,63,0.0,68,20,2007,5,19,8,0.0
1,2007-05-09,77,61,69.0,59,63,0.13,75,16,2007,5,19,9,0.018571428571428572
2,2007-05-09,76,63,69.5,60,63,0.02,76,13,2007,5,19,9,0.002857142857142857
1,2007-05-10,84,56,70.0,52,60,0.0,55,28,2007,5,19,10,0.018571428571428572
2,2007-05-10,83,59,71.0,52,61,0.0,53,24,2007,5,19,10,0.002857142857142857
1,2007-05-11,70,51,60.5,42,51,0.0,37,19,2007,5,19,11,0.018571428571428572
2,2007-05-11,73,49,61.0,44,51,0.0,43,24,2007,5,19,11,0.002857142857142857
1,2007-05-12,64,46,55.0,36,46,0.0,18,18,2007,5,19,12,0.018571428571428572
2,2007-05-12,65,47,56.0,37,46,0.0,22,18,2007,5,19,12,0.002857142857142857
1,2007-05-13,69,43,56.0,33,46,0.0,4,26,2007,5,19,13,0.018571428571428572
2,2007-05-13,69,44,56.5,32,46,0.0,0,25,2007,5,19,13,0.002857142857142857
